"Reference","Sheet","Function","Current EBOM Status","Prototype Population Status","Reason","Required For First Power-Up","Required For Functional Testing","Required For Safety Testing","Required For USB Programming","Required For Motion Testing","Required For Expansion Testing","Installation Phase"
"U205","02_Power_Conversion","SN74LVC08A-Q1 quad AND — request × MAIN_POWER_GOOD","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U206","02_Power_Conversion","TPS22918-Q1 OLED load switch","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U207","02_Power_Conversion","TPS22918-Q1 SENSOR load switch","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U208","02_Power_Conversion","TPS22918-Q1 UI load switch","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U209","02_Power_Conversion","TPS2553-Q1 active-high EXPANSION switch; 141 kΩ RILIM; 162.8..222.4 mA; OPTIONAL/DNP","BLOCKED","DNP - DEFAULT","Released optional/DNP function; retain unpopulated unless a controlled prototype test requires it.","YES","NO","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U210","02_Power_Conversion","TPS22918-Q1 RELAY logic branch","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U211","02_Power_Conversion","TPS22918-Q1 FIELD-SENSE branch","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U212","02_Power_Conversion","TPS2553-Q1 active-high motor-logic switch; 141 kΩ RILIM; 162.8..222.4 mA","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U213","02_Power_Conversion","TPS2553-Q1 active-high motor-logic switch; 141 kΩ RILIM; 162.8..222.4 mA","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C301","03_ESP32_Core","22 µF effective bulk","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C302","03_ESP32_Core","1 µF X7R","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C303","03_ESP32_Core","100 nF X7R","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C304","03_ESP32_Core","1 µF EN RC starting value","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C305","03_ESP32_Core","93.1 nF Â±1% C0G/NP0 â‰¥10 V; CT; 99.642 ms nominal; leakage â‰¤10 nA; -40..125 Â°C","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"C306","03_ESP32_Core","100 nF supervisor bypass","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R301","03_ESP32_Core","10 kΩ EN/reset pull-up","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R302","03_ESP32_Core","10 kΩ GPIO0 boot pull-up","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"R303","03_ESP32_Core","22 Ω USB D- tuning","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","YES","NO","NO","Stage D - USB and programming"
"R304","03_ESP32_Core","22 Ω USB D+ tuning","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","YES","NO","NO","Stage D - USB and programming"
"R305","03_ESP32_Core","499 Ω UART0 TX EMC series","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"SW301","03_ESP32_Core","RESET — momentary NO","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"SW302","03_ESP32_Core","BOOT — momentary NO","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U301","03_ESP32_Core","ESP32-S3-WROOM-1-N8","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","YES","NO","NO","Stage C - core 3.3 V and MCU population"
"U302","03_ESP32_Core","TPS389030-Q1 2.89 V typ / 100 ms target","BLOCKED","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","YES","YES","NO","NO","NO","NO","Stage C - core 3.3 V and MCU population"
"U303","03_ESP32_Core","TPD2EUSB30 low-capacitance ESD boundary","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","NO","YES","NO","NO","Stage D - USB and programming"
"C401","04_Safety_Inputs","100 nF X7R 10 V","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C402","04_Safety_Inputs","100 nF X7R 10 V","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C403","04_Safety_Inputs","100 nF X7R/C0G, τ=100 µs","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C404","04_Safety_Inputs","100 nF X7R/C0G, τ=100 µs","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C405","04_Safety_Inputs","100 nF X7R/C0G, τ=100 µs","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C406","04_Safety_Inputs","100 nF X7R/C0G, τ=100 µs","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C407","04_Safety_Inputs","100 nF X7R/C0G, τ=100 µs","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C408","04_Safety_Inputs","100 nF X7R, τ=100 µs","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C409","04_Safety_Inputs","100 nF X7R, τ=100 µs","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C410","04_Safety_Inputs","100 nF X7R LM339B-Q1 local bypass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C411","04_Safety_Inputs","100 nF X7R LM339B-Q1 local bypass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C412","04_Safety_Inputs","100 nF X7R LM339B-Q1 local bypass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C413","04_Safety_Inputs","1 µF X7R local logic bulk","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"D401","04_Safety_Inputs","TPD4E05U06 channel / low-cap ESD clamp","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"D402","04_Safety_Inputs","TPD4E05U06 channel / low-cap ESD clamp","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"D403","04_Safety_Inputs","TPD4E05U06 channel / low-cap ESD clamp","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"D404","04_Safety_Inputs","TPD4E05U06 channel / low-cap ESD clamp","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"D405","04_Safety_Inputs","TPD4E05U06 channel / low-cap ESD clamp","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"D406","04_Safety_Inputs","TPD4E05U06 channel / low-cap ESD clamp","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"D407","04_Safety_Inputs","TPD4E05U06 channel / low-cap ESD clamp","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R401","04_Safety_Inputs","10.0 kΩ ±0.1% threshold ladder","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R402","04_Safety_Inputs","10.0 kΩ ±0.1%","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R403","04_Safety_Inputs","10.0 kΩ ±0.1%","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R404","04_Safety_Inputs","10.0 kΩ ±0.1%","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R405","04_Safety_Inputs","10.0 kΩ ±0.1%","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R406","04_Safety_Inputs","10.0 kΩ ±1% field detector top","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R407","04_Safety_Inputs","20.0 kΩ ±1% field detector bottom","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R408","04_Safety_Inputs","2.20 kΩ ±1% loop excitation","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R409","04_Safety_Inputs","1.00 kΩ ±1% protected series","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R410","04_Safety_Inputs","2.20 kΩ ±1% loop excitation","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R411","04_Safety_Inputs","1.00 kΩ ±1% protected series","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R412","04_Safety_Inputs","2.20 kΩ ±1% loop excitation","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R413","04_Safety_Inputs","1.00 kΩ ±1% protected series","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R414","04_Safety_Inputs","2.20 kΩ ±1% loop excitation","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R415","04_Safety_Inputs","1.00 kΩ ±1% protected series","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R416","04_Safety_Inputs","2.20 kΩ ±1% loop excitation","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R417","04_Safety_Inputs","1.00 kΩ ±1% protected series","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R418","04_Safety_Inputs","100 kΩ fail-high bias","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R419","04_Safety_Inputs","10.0 kΩ ±1% main-only wetting/bias","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R420","04_Safety_Inputs","1.00 kΩ ±1% protected series","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R421","04_Safety_Inputs","100 kΩ deterministic field-off pull-down","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R422","04_Safety_Inputs","10.0 kΩ ±1% main-only wetting/bias","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R423","04_Safety_Inputs","1.00 kΩ ±1% protected series","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"R424","04_Safety_Inputs","100 kΩ deterministic field-off pull-down","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U401AB","04_Safety_Inputs","LM339B-Q1 dual threshold + SN74LVC14A-Q1 combine","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U401CD","04_Safety_Inputs","LM339B-Q1 dual threshold + SN74LVC14A-Q1 combine","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U402AB","04_Safety_Inputs","LM339B-Q1 dual threshold + SN74LVC14A-Q1 combine","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U402CD","04_Safety_Inputs","LM339B-Q1 dual threshold + SN74LVC14A-Q1 combine","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U403AB","04_Safety_Inputs","LM339B-Q1 dual threshold + SN74LVC14A-Q1 combine","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U403C","04_Safety_Inputs","LM339B-Q1 low-active receiver + FIELD_OK gate","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U403D","04_Safety_Inputs","LM339B-Q1 low-active receiver + FIELD_OK gate","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U404","04_Safety_Inputs","SN74LVC1G17-Q1 FIELD_SENSE detector, fail low","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"U405","04_Safety_Inputs","SN74LVC1G17-Q1 STOP hardware export; passive fail-high bias","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","NO","NO","Stage F - safety and watchdog"
"C501","05_Motor_Interfaces","100 nF X7R VCCA bypass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"C502","05_Motor_Interfaces","100 nF X7R VCCB bypass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"C503","05_Motor_Interfaces","1 µF X7R local interface bulk","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"C504","05_Motor_Interfaces","100 nF X7R VCCA bypass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"C505","05_Motor_Interfaces","100 nF X7R VCCB bypass","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"C506","05_Motor_Interfaces","1 µF X7R local interface bulk","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"D501","05_Motor_Interfaces","TPD4E05U06 channel / connector-entry ESD provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"D502","05_Motor_Interfaces","TPD4E05U06 channel / connector-entry ESD provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"D503","05_Motor_Interfaces","TPD4E05U06 channel / connector-entry ESD provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"D504","05_Motor_Interfaces","TPD4E05U06 channel / connector-entry ESD provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"D505","05_Motor_Interfaces","TPD4E05U06 channel / connector-entry ESD provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"D506","05_Motor_Interfaces","TPD4E05U06 channel / connector-entry ESD provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"D507","05_Motor_Interfaces","TPD4E05U06 channel / connector-entry ESD provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"D508","05_Motor_Interfaces","TPD4E05U06 channel / connector-entry ESD provision","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R501","05_Motor_Interfaces","100 kΩ authorization default off","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R502","05_Motor_Interfaces","100 kΩ authorization default off","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R503","05_Motor_Interfaces","47 kΩ MCU-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R504","05_Motor_Interfaces","47 kΩ MCU-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R505","05_Motor_Interfaces","47 kΩ MCU-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R506","05_Motor_Interfaces","47 kΩ MCU-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R507","05_Motor_Interfaces","33 Ω series damping","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
"R508","05_Motor_Interfaces","10 kΩ safe-side inactive default","NOT YET FROZEN","BLOCKED - PHYSICAL DEFINITION REQUIRED","Exact one-to-one device, package, pin map, or prototype-rated physical definition is not released.","NO","YES","YES","NO","YES","NO","Stage G - relay and motion outputs"
