"Item","Category","Selection Scope","Manufacturer","Manufacturer Part Number","Preferred Distributor","Preferred Distributor Ordering Code","Alternate Distributor","Alternate Distributor Ordering Code","Lifecycle","Stock Status","RoHS","Second Source","Approved Alternate","Approved Alternate Vendor Code","Freeze Status","Sourcing Risk","Requirement Trace Reference","Risk","Review Date"
"02_Power_Conversion/C212","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C213","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C214","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C215","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C216","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C217","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C218","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C219","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C220","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/C221","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” exact dielectric, DC-bias effective capacitance, ripple/ESR, aging, and stability evidence are incomplete.","2026-07-31"
"02_Power_Conversion/L201","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","PAS-01R; QER-01; PPQ-01; PPQ-02","PAS-01R: BLOCKED - exact active MPN selected; named manufacturer tool/curve, thermal, magnetic or threshold evidence remains under PACS-01R-A.","2026-07-31"
"02_Power_Conversion/L202","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","PAS-01R; QER-01; PPQ-01; PPQ-02","PAS-01R: BLOCKED - exact active MPN selected; named manufacturer tool/curve, thermal, magnetic or threshold evidence remains under PACS-01R-A.","2026-07-31"
"02_Power_Conversion/R201","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE - ECO-007 corrected the 400 kHz LMR38020F-Q1 RT/SYNC network to 64.9 kOhm; exact suffix, oscillator, loop, loss, thermal, lifecycle, sourcing, and cost evidence remain CSR-01A-R3 work.","2026-07-31"
"02_Power_Conversion/R202","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R203","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R204","Passives","CSR-01A POWER","Panasonic Industry","ERJ-3EKF1003V","DigiKey","P100KHTR-ND / P100KHCT-ND","Mouser","667-ERJ-3EKF1003V","ACTIVE â€” checked 2026-07-31","DigiKey 943,271 in stock; Mouser regional listing over 357,000 in stock; checked 2026-07-31, not guaranteed","COMPLIANT â€” manufacturer certificate available","Vishay Dale RCG0603100KFKEA â€” ELECTRICALLY APPROVED; footprint confirmation deferred","RCG0603100KFKEA â€” ELECTRICALLY APPROVED; FOOTPRINT MAY DIFFER","DigiKey 541-1788-1-ND (cut tape)","FROZEN","LOW","CSR-01A-R:QER-R-01,QER-R-02,QER-R-03,QER-R-04,QER-ENV-01","Low electrical and sourcing risk; do not assign footprint until the footprint package.","2026-07-31"
"02_Power_Conversion/R205","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R206","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R207","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R208","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R209","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R210","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R211","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R212","Passives","CSR-01A POWER","Panasonic Industry","ERJ-3EKF1003V","DigiKey","P100KHTR-ND / P100KHCT-ND","Mouser","667-ERJ-3EKF1003V","ACTIVE â€” checked 2026-07-31","DigiKey 943,271 in stock; Mouser regional listing over 357,000 in stock; checked 2026-07-31, not guaranteed","COMPLIANT â€” manufacturer certificate available","Vishay Dale RCG0603100KFKEA â€” ELECTRICALLY APPROVED; footprint confirmation deferred","RCG0603100KFKEA â€” ELECTRICALLY APPROVED; FOOTPRINT MAY DIFFER","DigiKey 541-1788-1-ND (cut tape)","FROZEN","LOW","CSR-01A-R:QER-R-01,QER-R-02,QER-R-03,QER-R-04,QER-ENV-01","Low electrical and sourcing risk; do not assign footprint until the footprint package.","2026-07-31"
"02_Power_Conversion/R213","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R214","Passives","CSR-01A POWER","Panasonic Industry","ERJ-3EKF1003V","DigiKey","P100KHTR-ND / P100KHCT-ND","Mouser","667-ERJ-3EKF1003V","ACTIVE â€” checked 2026-07-31","DigiKey 943,271 in stock; Mouser regional listing over 357,000 in stock; checked 2026-07-31, not guaranteed","COMPLIANT â€” manufacturer certificate available","Vishay Dale RCG0603100KFKEA â€” ELECTRICALLY APPROVED; footprint confirmation deferred","RCG0603100KFKEA â€” ELECTRICALLY APPROVED; FOOTPRINT MAY DIFFER","DigiKey 541-1788-1-ND (cut tape)","FROZEN","LOW","CSR-01A-R:QER-R-01,QER-R-02,QER-R-03,QER-R-04,QER-ENV-01","Low electrical and sourcing risk; do not assign footprint until the footprint package.","2026-07-31"
"02_Power_Conversion/R215","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R216","Passives","CSR-01A POWER","Panasonic Industry","ERJ-3EKF1003V","DigiKey","P100KHTR-ND / P100KHCT-ND","Mouser","667-ERJ-3EKF1003V","ACTIVE â€” checked 2026-07-31","DigiKey 943,271 in stock; Mouser regional listing over 357,000 in stock; checked 2026-07-31, not guaranteed","COMPLIANT â€” manufacturer certificate available","Vishay Dale RCG0603100KFKEA â€” ELECTRICALLY APPROVED; footprint confirmation deferred","RCG0603100KFKEA â€” ELECTRICALLY APPROVED; FOOTPRINT MAY DIFFER","DigiKey 541-1788-1-ND (cut tape)","FROZEN","LOW","CSR-01A-R:QER-R-01,QER-R-02,QER-R-03,QER-R-04,QER-ENV-01","Low electrical and sourcing risk; do not assign footprint until the footprint package.","2026-07-31"
"02_Power_Conversion/R217","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
"02_Power_Conversion/R218","Passives","CSR-01A POWER","Panasonic Industry","ERJ-3EKF1003V","DigiKey","P100KHTR-ND / P100KHCT-ND","Mouser","667-ERJ-3EKF1003V","ACTIVE â€” checked 2026-07-31","DigiKey 943,271 in stock; Mouser regional listing over 357,000 in stock; checked 2026-07-31, not guaranteed","COMPLIANT â€” manufacturer certificate available","Vishay Dale RCG0603100KFKEA â€” ELECTRICALLY APPROVED; footprint confirmation deferred","RCG0603100KFKEA â€” ELECTRICALLY APPROVED; FOOTPRINT MAY DIFFER","DigiKey 541-1788-1-ND (cut tape)","FROZEN","LOW","CSR-01A-R:QER-R-01,QER-R-02,QER-R-03,QER-R-04,QER-ENV-01","Low electrical and sourcing risk; do not assign footprint until the footprint package.","2026-07-31"
"02_Power_Conversion/R219","Passives","CSR-01A POWER","Panasonic Industry","ERJ-3EKF1003V","DigiKey","P100KHTR-ND / P100KHCT-ND","Mouser","667-ERJ-3EKF1003V","ACTIVE â€” checked 2026-07-31","DigiKey 943,271 in stock; Mouser regional listing over 357,000 in stock; checked 2026-07-31, not guaranteed","COMPLIANT â€” manufacturer certificate available","Vishay Dale RCG0603100KFKEA â€” ELECTRICALLY APPROVED; footprint confirmation deferred","RCG0603100KFKEA â€” ELECTRICALLY APPROVED; FOOTPRINT MAY DIFFER","DigiKey 541-1788-1-ND (cut tape)","FROZEN","LOW","CSR-01A-R:QER-R-01,QER-R-02,QER-R-03,QER-R-04,QER-ENV-01","Low electrical and sourcing risk; do not assign footprint until the footprint package.","2026-07-31"
"02_Power_Conversion/R220","Passives","CSR-01A POWER","Panasonic Industry","ERJ-3EKF1003V","DigiKey","P100KHTR-ND / P100KHCT-ND","Mouser","667-ERJ-3EKF1003V","ACTIVE â€” checked 2026-07-31","DigiKey 943,271 in stock; Mouser regional listing over 357,000 in stock; checked 2026-07-31, not guaranteed","COMPLIANT â€” manufacturer certificate available","Vishay Dale RCG0603100KFKEA â€” ELECTRICALLY APPROVED; footprint confirmation deferred","RCG0603100KFKEA â€” ELECTRICALLY APPROVED; FOOTPRINT MAY DIFFER","DigiKey 541-1788-1-ND (cut tape)","FROZEN","LOW","CSR-01A-R:QER-R-01,QER-R-02,QER-R-03,QER-R-04,QER-ENV-01","Low electrical and sourcing risk; do not assign footprint until the footprint package.","2026-07-31"
"02_Power_Conversion/R221","Passives","CSR-01A POWER","Panasonic Industry","ERJ-3EKF1003V","DigiKey","P100KHTR-ND / P100KHCT-ND","Mouser","667-ERJ-3EKF1003V","ACTIVE â€” checked 2026-07-31","DigiKey 943,271 in stock; Mouser regional listing over 357,000 in stock; checked 2026-07-31, not guaranteed","COMPLIANT â€” manufacturer certificate available","Vishay Dale RCG0603100KFKEA â€” ELECTRICALLY APPROVED; footprint confirmation deferred","RCG0603100KFKEA â€” ELECTRICALLY APPROVED; FOOTPRINT MAY DIFFER","DigiKey 541-1788-1-ND (cut tape)","FROZEN","LOW","CSR-01A-R:QER-R-01,QER-R-02,QER-R-03,QER-R-04,QER-ENV-01","Low electrical and sourcing risk; do not assign footprint until the footprint package.","2026-07-31"
"02_Power_Conversion/R222","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE - ECO-008R implements a generic 141 kOhm +/-1%, <=100 ppm/degC RILIM with calculated 162.8..222.4 mA bounds under QER-02; exact MPN/suffix/package, thermal, reverse-current, lifecycle, sourcing, cost, and prototype evidence remain CSR-01A-R4 work.","2026-07-31"
"02_Power_Conversion/R223","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE - ECO-008R implements a generic 141 kOhm +/-1%, <=100 ppm/degC RILIM with calculated 162.8..222.4 mA bounds under QER-02; exact MPN/suffix/package, thermal, reverse-current, lifecycle, sourcing, cost, and prototype evidence remain CSR-01A-R4 work.","2026-07-31"
"02_Power_Conversion/R224","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE - ECO-008R implements a generic 141 kOhm +/-1%, <=100 ppm/degC RILIM with calculated 162.8..222.4 mA bounds under QER-02; exact MPN/suffix/package, thermal, reverse-current, lifecycle, sourcing, cost, and prototype evidence remain CSR-01A-R4 work.","2026-07-31"
"02_Power_Conversion/R225","Passives","CSR-01A POWER","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","UNRESOLVED - CSR-01A BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","NOT REVIEWED - BLOCKED","UNRESOLVED - CSR-01A BLOCKED","","","BLOCKED","BLOCKED","QER-01; ECO-006; MIR-01 where applicable; CSR-01A-R2 disposition","ANALYSIS INCOMPLETE â€” device equation or divider tolerance, temperature drift, pulse/working voltage, and failure-effect evidence are incomplete.","2026-07-31"
